Name,Qty,Final Price - INR (USD),Link
Gateron EF Grayish,70,1465 ($17.14),https://neomacro.in/products/gateron-ef-grayish
Cherry Profile PBT Keycaps,1,1299 ($15.14),https://stackskb.com/store/veekos-gradient-keycaps-cherry-profile-135-keys
Durock Smokey Screw-In Stabilizers V2 (4+1 w/ 6.25u spacebar),1,1595 ($18.6),https://stackskb.com/store/durock-smokey-screw-in-stabilizers-v2/
Diode 1N4148 Through - Hole,80,188.8 ($2.21),https://roboticsdna.in/product/diode-1n4148/
EC11 Rotary Encoder,2,178 ($2.08),https://amzn.in/d/hVRxzij
M3 x 16mm Bolt,10,124 ($1.44),https://amzn.in/d/0eY6kT4
M3 x 25mm Bolt, 10, 145 ($1.69),https://amzn.in/d/3zS0SJ2
M3 x 4mm Heatset Insert,25,242 ($2.83),https://amzn.in/d/dpL3N2a
PCB - (Black Color),5,3802.44 ($44.5),https://hc-cdn.hel1.your-objectstorage.com/s/v3/3f05c160f070155d4d5333c6b8261f5120b33c4c_image.png
Raspberry Pi Pico,1,366.01 ($4.28),https://roboticsdna.in/product/raspberry-pi-pico/
Super Bright Red LED 5MM (5 Pieces),2,48 ($0.56),https://roboticsdna.in/product/super-bright-red-led-5mm-5-pieces/
Super Bright Blue LED 5MM (5 Pieces),2,30 ($0.35),https://roboticsdna.in/product/super-bright-blue-led-5mm-5-pieces/
Super Bright Green LED 5MM (5 Pieces),2,24 ($0.28),https://roboticsdna.in/product/super-bright-green-led-5mm-5-pieces/
330K Ohm 0.25W CFR Resistor ±5% Tolerance (Pack of 50 ),1,29.5 ($0.35),https://roboticsdna.in/product/330k-ohm-0-25w-cfr-resistor-%c2%b15-tolerance-pack-of-50/
Acrylic Sheet,1,240 ($2.81),https://amzn.in/d/05dUxqd
Top Case - 1 (White "./production/top.step"),1,2582 ($29.89),https://hc-cdn.hel1.your-objectstorage.com/s/v3/a1089c5d17e005a69043bc950fa28f1e25543591_image.png
Rotary Encoder Knob,2,Print Legion,
Bottom Case - 1 (White "./production/bottom.step"),1,Print Legion,
Acrylic Sheet Mount - 1 (White "./production/acrylic-sheet-lid.step"),1,Print Legion,
