Ref,Val,Package,PosX,PosY,Rot,Side
"D64","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",124.250000,-93.375000,0.000000,top
"D65","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",134.250000,-93.375000,0.000000,top
"D66","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",144.250000,-93.375000,0.000000,top
"D67","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",154.250000,-93.375000,0.000000,top
"D68","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",164.250000,-93.375000,0.000000,top
"D69","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",174.250000,-93.375000,0.000000,top
"D70","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",184.250000,-93.375000,0.000000,top
"D71","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",194.250000,-93.375000,0.000000,top
"D72","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",204.250000,-93.375000,0.000000,top
"D73","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",214.250000,-93.375000,0.000000,top
